Date,equity,daily_return,gross_return,turnover_cost,turnover,holdings,held_tickers
2026-06-01,973.9336155320042,-0.026066384467995835,-0.025816384467995834,0.00025,5,5,"ACHR,CRML,ONDS,QS,RUN"
2026-06-02,907.1324589590639,-0.06858902445466021,-0.06853902445466022,5e-05,1,6,"ACHR,CRML,FLNC,ONDS,QS,RUN"
2026-06-03,912.2534444692569,0.0056452455863716736,0.005695245586371673,5e-05,1,7,"ACHR,COMP,CRML,FLNC,ONDS,QS,RUN"
2026-06-04,853.6745606036493,-0.06421338743170045,-0.06411338743170045,0.0001,2,9,"ACHR,COMP,CRML,EOSE,FLNC,ONDS,QS,QUBT,RUN"
2026-06-05,840.977119417375,-0.014873866192399733,-0.014873866192399733,0.0,0,9,"ACHR,COMP,CRML,EOSE,FLNC,ONDS,QS,QUBT,RUN"
2026-06-08,791.6861767181624,-0.05861151458360846,-0.058561514583608455,5e-05,1,10,"ACHR,COMP,CRML,EOSE,FLNC,ONDS,QS,QUBT,RUN,UUUU"
2026-06-09,768.6671634258246,-0.029075931813992702,-0.0290259318139927,5e-05,1,11,"ACHR,COMP,CRML,EOSE,FLNC,ONDS,OSCR,QS,QUBT,RUN,UUUU"
2026-06-10,814.1931488458791,0.05922717606038031,0.05922717606038031,0.0,0,11,"ACHR,COMP,CRML,EOSE,FLNC,ONDS,OSCR,QS,QUBT,RUN,UUUU"
2026-06-11,840.3329811588101,0.032105198072452795,0.032105198072452795,0.0,0,11,"ACHR,COMP,CRML,EOSE,FLNC,ONDS,OSCR,QS,QUBT,RUN,UUUU"
2026-06-12,841.369736728537,0.0012337437575008594,0.0012337437575008594,0.0,0,11,"ACHR,COMP,CRML,EOSE,FLNC,ONDS,OSCR,QS,QUBT,RUN,UUUU"
2026-06-15,820.4278943976822,-0.024890177785906638,-0.024740177785906637,0.00015000000000000001,3,10,"ACHR,CRML,EOSE,FLNC,LUMN,ONDS,OSCR,QS,QUBT,UUUU"
2026-06-16,860.7169945646484,0.04910742362867201,0.04910742362867201,0.0,0,10,"ACHR,CRML,EOSE,FLNC,LUMN,ONDS,OSCR,QS,QUBT,UUUU"
2026-06-17,858.1928190450298,-0.002932642826339682,-0.002932642826339682,0.0,0,10,"ACHR,CRML,EOSE,FLNC,LUMN,ONDS,OSCR,QS,QUBT,UUUU"
2026-06-18,808.3996162293685,-0.05802099680939952,-0.05802099680939952,0.0,0,10,"ACHR,CRML,EOSE,FLNC,LUMN,ONDS,OSCR,QS,QUBT,UUUU"
2026-06-22,795.6863215444043,-0.01572649767482936,-0.01567649767482936,5e-05,1,11,"ACHR,CRML,EOSE,FLNC,LUMN,ONDS,OSCR,QS,QUBT,RCAT,UUUU"
2026-06-23,771.8081745737201,-0.0300094978688806,-0.029959497868880598,5e-05,1,12,"ACHR,CRML,EOSE,FLNC,LUMN,LUNR,ONDS,OSCR,QS,QUBT,RCAT,UUUU"
2026-06-24,733.1872221707247,-0.05003957417829407,-0.05003957417829407,0.0,0,12,"ACHR,CRML,EOSE,FLNC,LUMN,LUNR,ONDS,OSCR,QS,QUBT,RCAT,UUUU"
2026-06-25,769.3833938652169,0.04936825220075091,0.04941825220075091,5e-05,1,11,"CRML,EOSE,FLNC,LUMN,LUNR,ONDS,OSCR,QS,QUBT,RCAT,UUUU"
2026-06-26,786.1261593478187,0.021761277428265845,0.021761277428265845,0.0,0,11,"CRML,EOSE,FLNC,LUMN,LUNR,ONDS,OSCR,QS,QUBT,RCAT,UUUU"
2026-06-29,776.54490668126,-0.012187932627133661,-0.012187932627133661,0.0,0,11,"CRML,EOSE,FLNC,LUMN,LUNR,ONDS,OSCR,QS,QUBT,RCAT,UUUU"
2026-06-30,768.718874732652,-0.010078015941221414,-0.010078015941221414,0.0,0,11,"CRML,EOSE,FLNC,LUMN,LUNR,ONDS,OSCR,QS,QUBT,RCAT,UUUU"
2026-07-01,731.1690496011756,-0.04884727872011156,-0.04884727872011156,0.0,0,11,"CRML,EOSE,FLNC,LUMN,LUNR,ONDS,OSCR,QS,QUBT,RCAT,UUUU"
2026-07-02,718.8876153374121,-0.01679698322906666,-0.016746983229066658,5e-05,1,12,"CRML,EOSE,FLNC,LUMN,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,UUUU"
2026-07-06,671.8365740269815,-0.0654497870134362,-0.06539978701343621,5e-05,1,13,"ACHR,CRML,EOSE,FLNC,LUMN,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,UUUU"
2026-07-07,685.9608491659826,0.021023379323248853,0.021173379323248854,0.00015000000000000001,3,12,"CRML,FLNC,LUMN,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,SMR,UUUU"
2026-07-08,700.3077662996827,0.020915067020433647,0.020915067020433647,0.0,0,12,"CRML,FLNC,LUMN,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,SMR,UUUU"
2026-07-09,663.6839665756455,-0.052296720793989886,-0.052296720793989886,0.0,0,12,"CRML,FLNC,LUMN,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,SMR,UUUU"
2026-07-10,660.0845168670223,-0.005423439302285654,-0.005373439302285655,5e-05,1,13,"CRML,FLNC,LUMN,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,SMR,UUUU"
2026-07-13,657.3351518398315,-0.004165171212074783,-0.004165171212074783,0.0,0,13,"CRML,FLNC,LUMN,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,SMR,UUUU"
2026-07-14,626.0864417847006,-0.0475384740458017,-0.0474884740458017,5e-05,1,14,"CRML,FLNC,LUMN,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,SMR,SNOW,UUUU"
2026-07-15,580.3253872746948,-0.07309063326712659,-0.07309063326712659,0.0,0,14,"CRML,FLNC,LUMN,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,SMR,SNOW,UUUU"
2026-07-16,596.3001643519596,0.027527275951660442,0.027527275951660442,0.0,0,14,"CRML,FLNC,LUMN,LUNR,NVTS,ONDS,OSCR,QS,QUBT,RCAT,RDW,SMR,SNOW,UUUU"
