ticker,days_held,total_pnl,total_contribution_return,mean_position_return,median_position_return,hit_rate,best_day_return,worst_day_return
BBIO,40,7.178235535273087,0.007359541964600331,0.006197113805135587,0.007556387649103713,0.6,0.089352863897183,-0.06574167361750105
BNTX,4,6.29165884113093,0.00633791035234557,0.04753432764259177,0.007069387789999992,0.5,0.19455682006094688,-0.018558285070579772
MRNA,40,5.044662320434375,0.005140933733661451,0.006460328062162601,0.003373611321224601,0.625,0.14260488557095008,-0.13545004398322769
DAR,10,4.375648674136741,0.004468182931165909,0.013404548793497728,0.011812558363566317,0.8,0.05083939048942909,-0.008339425128736977
ZIM,60,4.161663788357443,0.0042839933000499205,0.0017681609842431594,0.00113773596082134,0.5166666666666667,0.07180529351542453,-0.0798283523756036
FRO,17,4.139187860522336,0.004205941323588581,0.008829223032213935,0.01013506605354264,0.5294117647058824,0.05746590895002024,-0.03889584181708616
HAL,10,3.5898784205230063,0.003637567889336842,0.010912703668010526,0.006847009806815518,0.8,0.04387294391563845,-0.020839558194688523
FTI,18,2.7480607803745714,0.002821081858065222,0.00470180309677537,0.0041567004755526105,0.5555555555555556,0.05068859200458786,-0.025163445197863288
TEVA,18,1.8291234487552295,0.0018820867654830485,0.0031368112758050812,0.0029803339660505745,0.6666666666666666,0.03254351782399123,-0.03211134057367049
ICLR,18,1.7123334543328343,0.0017419200598986,0.004014258062751315,0.0031637201392422654,0.6666666666666666,0.053675491872287706,-0.039434810714675805
EXPE,14,1.4183286734267262,0.001421682611231862,0.003305290269059418,0.007029538541051594,0.7142857142857143,0.04157014774362078,-0.04159997852249098
OVV,35,1.1779804935313072,0.0012611660254653332,0.0014830786286533179,-0.0005714053199404878,0.4857142857142857,0.04957900230787393,-0.047177942542312556
SM,7,1.0290674848756107,0.001042010905917135,0.005487181141033859,0.004800490445369343,0.5714285714285714,0.0696485737480328,-0.03555831548104327
VRNS,17,0.899581665145421,0.0009328426626454906,0.002088151395418873,-0.011896392214600482,0.4117647058823529,0.08578196365967594,-0.03775642849757044
EXEL,14,0.8482087147085946,0.0008422210442193121,0.0018047593804699541,0.0012096064573277054,0.5,0.02893539818948021,-0.03536975543150633
CAH,5,0.8376268035330923,0.0008408500036151123,0.005045100021690674,-0.001987404159947803,0.4,0.023181796554943235,-0.0059268114312514
HUM,10,0.7390016263695337,0.0007965561563578571,0.00252410149916652,-0.0019577597346828735,0.5,0.05769230769230771,-0.0375928136715209
