ticker,side,entry_date,age,entry_score,score,pred,pred_cat,pred_lgbm,target_weight,regime_exposure,position_risk_scale,rolling_vol,rolling_beta
BF-B,1,2026-09-02,3,1.0,0.9993351063829788,0.2828135630945321,0.40382930432449626,0.16179782186456787,0.03333333333333333,1.0,1.0,0.3617330245654105,0.006163598912814034
BN,1,2026-09-04 00:00:00,1,0.9667553191489362,0.9667553191489362,0.2627219571923625,0.28330430708745,0.24213960729727502,0.03333333333333333,1.0,1.0,0.22016788081993027,1.4443684045756164
BSY,1,2026-09-08 00:00:00,0,0.9860372340425532,0.9860372340425532,0.33421871351860377,0.3090098434993842,0.3594275835378234,0.030215631910775444,1.0,0.9064689573232634,0.42341854328729506,0.48674043757405344
CCK,1,2026-09-08 00:00:00,0,0.9654255319148937,0.9654255319148937,0.27000735522332164,0.2726689029981939,0.2673458074484494,0.03333333333333333,1.0,1.0,0.24939655299108338,0.45739566620239713
CSGP,1,2026-09-02,3,0.978029294274301,0.9627659574468086,0.26766730911265535,0.3424577965964642,0.19287682162884653,0.025513400150753686,1.0,0.7654020045226105,0.501456441421733,0.24979761129051994
CVCO,1,2026-09-03 00:00:00,2,0.972630173564753,0.972630173564753,0.25312573198915833,0.28618464792640247,0.22006681605191422,0.03333333333333333,1.0,1.0,0.3388313444255351,1.195605055933475
EVRG,1,2026-09-04 00:00:00,1,0.9700797872340424,0.9700797872340424,0.17650000618724737,0.2553549896397699,0.09764502273472486,0.03333333333333333,1.0,1.0,0.16496364297051,-0.0426361865068651
FRPT,1,2026-09-03 00:00:00,2,0.9686248331108144,0.9686248331108144,0.2939961054119107,0.2543205174167547,0.3336716934070667,0.023436749382798702,1.0,0.703102481483961,0.545888793671858,0.4212595258980041
ITW,1,2026-09-03 00:00:00,2,0.9686248331108144,0.9686248331108144,0.21800635592191775,0.20205918424643227,0.23395352759740323,0.03333333333333333,1.0,1.0,0.22766532446992024,0.4984100783281881
KVUE,1,2026-09-04 00:00:00,1,0.9680851063829788,0.9680851063829788,0.39131092102526727,0.2606142234598,0.5220076185907345,0.03333333333333333,1.0,1.0,0.21781813643585285,0.12375627029657414
LNT,1,2026-09-04 00:00:00,1,0.976063829787234,0.9714095744680851,0.29583107418930304,0.27456211621467075,0.31710003216393534,0.03333333333333333,1.0,1.0,0.18122796650188494,-0.09481582698105168
MGM,1,2026-09-03 00:00:00,2,0.9779706275033376,0.9779706275033376,0.23069660403091774,0.2879305454978518,0.17346266256398366,0.03333333333333333,1.0,1.0,0.2186895552930775,0.8226059833920233
MLI,1,2026-09-02,3,0.9760319573901464,0.9760319573901464,0.1602462644746171,0.26969090625456954,0.05080162269466462,0.03333333333333333,1.0,1.0,0.3500325855214058,0.5668559364820914
MMYT,1,2026-09-08 00:00:00,0,0.992686170212766,0.992686170212766,0.413199524012539,0.3246619909008415,0.5017370571242364,0.02285269798362772,1.0,0.6855809395088316,0.5598401929317715,1.216504040591331
NE,1,2026-09-02,3,0.9793608521970706,0.9793608521970706,0.24471890627789147,0.36820914323935616,0.12122866931642677,0.029015442538704726,1.0,0.8704632761611417,0.44093274921102676,0.33739129738408696
PLD,1,2026-09-02,3,0.9673768308921438,0.9847074468085106,0.20968386102940206,0.2882575526332216,0.13111016942558248,0.03333333333333333,1.0,1.0,0.24018230670746496,0.43684446754623485
PSA,1,2026-09-03 00:00:00,2,0.9766355140186916,0.9827127659574468,0.23644799384197904,0.23356252644656936,0.23933346123738872,0.03333333333333333,1.0,1.0,0.2233219567628469,0.3759031344449927
SFM,1,2026-09-02,3,0.9893475366178428,0.9900265957446808,0.3308477984875595,0.3610746687680968,0.3006209282070223,0.0280999939046212,1.0,0.842999817138636,0.4552975666682129,0.08198546080091106
TDY,1,2026-09-02,3,0.9680426098535286,0.9680851063829788,0.16318558833060598,0.21861762211514346,0.10775355454606851,0.03333333333333333,1.0,1.0,0.2448572268103917,1.0959701928350745
TPL,1,2026-09-02,3,0.9747003994673769,0.9747003994673769,0.2104317917122611,0.2740047249449578,0.14685885847956437,0.029785614245237145,1.0,0.8935684273571144,0.4295314759275593,0.3173661865819771
UTHR,1,2026-09-04 00:00:00,1,0.9587765957446808,0.9587765957446808,0.23525023273932666,0.2692047060418157,0.2012957594368376,0.03333333333333333,1.0,1.0,0.22363804902697051,0.27458789405547535
WLK,1,2026-09-08 00:00:00,0,0.9674202127659575,0.9674202127659575,0.2624842325418053,0.2876825354428971,0.23728592964071343,0.031730401913226514,1.0,0.9519120573967954,0.4032050675926878,0.6414776269888598
YUMC,1,2026-09-02,3,0.9647137150466044,0.97196261682243,0.22678122924481237,0.30715248433394016,0.14640997415568455,0.03333333333333333,1.0,1.0,0.25887232749881645,0.2848501843931672
