ticker,days_held,total_pnl,total_contribution_return,mean_position_return,median_position_return,hit_rate,best_day_return,worst_day_return
UTHR,4,0.8004084951262025,0.0008065633376974663,0.0060492250327315,0.004311580839658951,0.75,0.0161903422479157,-0.0006166037963076
TPL,6,0.5575961032382527,0.0005546765752516001,0.0028155691612079836,0.0028494042272975504,0.5,0.0387852505613999,-0.0351380826480201
LH,1,0.3771669658957196,0.000384275399171,0.011528261975132,0.011528261975132,1.0,0.011528261975132,0.011528261975132
EVRG,4,0.24271762782446862,0.000244526577982862,0.0018339493348715251,0.00284731188724745,0.75,0.0111725438453686,-0.0095313702803774
ZIM,2,0.2074022113227224,0.00021127545988940474,0.0035482258031247003,0.0035482258031247003,0.5,0.0084459458370989,-0.0013494942308495
CCK,3,-0.0005167811297299152,4.0438518316999734e-06,4.0438518316500534e-05,-0.0092049009780567,0.3333333333333333,0.0200303838602595,-0.0107041673272533
CP,1,-0.12065912427169846,-0.0001229331763799,-0.0036879952913984,-0.0036879952913984,0.0,-0.0036879952913984,-0.0036879952913984
LNT,4,-0.2664721319960064,-0.000273971263320126,-0.0020547844749017755,-0.0043870346090373,0.25,0.010904772430206,-0.0103498411117385
PFSI,1,-0.30554561540158304,-0.0003113042072615,-0.0093391262178477,-0.0093391262178477,0.0,-0.0093391262178477,-0.0093391262178477
NLY,1,-0.5006161798046721,-0.0005100512497669,-0.0153015374930071,-0.0153015374930071,0.0,-0.0153015374930071,-0.0153015374930071
BF-B,6,-0.5043473427491705,-0.0004954157624571,-0.0024770788122854166,-0.001900425380076,0.3333333333333333,0.0186952192133835,-0.0243813714503221
CSGP,6,-0.542829057832499,-0.0005225319179337146,-0.003268201912104883,-0.0150034162744382,0.3333333333333333,0.0487887212799467,-0.0225599975585937
TDY,6,-0.6032070962047508,-0.0006039360401427769,-0.0030196802007140832,-0.00479852425274105,0.3333333333333333,0.017660903332618,-0.0175170641359277
ITW,5,-0.6820816536055159,-0.0006798531164742,-0.004079118698846901,-0.0080092028057158,0.2,0.0204516699066725,-0.0171071613147621
WLK,3,-0.7086286893680783,-0.0007179093858147459,-0.0076047124080681336,-0.0114167020151466,0.3333333333333333,0.0009739765152234,-0.0123714117242812
BSY,3,-0.7422789216210369,-0.0007496974360754999,-0.0081529837214235,-0.021998204423254,0.3333333333333333,0.030029070900714,-0.0324898176417305
PLD,6,-0.7734834246237211,-0.0007818440096766096,-0.00390922004838305,-0.0030738429130522,0.5,0.0065224199136926,-0.0162595393859235
PSA,5,-0.7869894855389431,-0.0007861458489140044,-0.0047168750934842,-0.0019225224951823,0.4,0.0087675168592331,-0.0226835501540828
MGM,5,-0.9559716225364208,-0.0009696113861289593,-0.00581766831677436,0.0007309643915121,0.6,0.0019632351179064,-0.0240020404845592
MMYT,3,-1.106215835762139,-0.0011043863536454436,-0.01635321745925303,-0.0004005737940681,0.3333333333333333,0.0371908801393294,-0.0858499587230204
KVUE,4,-1.282419559935669,-0.0012842974657773381,-0.0096322309933303,-0.0103247031263563,0.5,0.0084506827340999,-0.0263302004547085
MLI,6,-1.4330133603310093,-0.0014716511869037959,-0.007358255934519417,-0.0059397470463363,0.5,0.0188107813452362,-0.0316706247296034
FRPT,5,-1.5088188255471957,-0.001524415719465,-0.01304739384563354,-0.0147368925854676,0.2,0.0197357844824035,-0.0486693942269138
NE,6,-1.5346484154566813,-0.0015496317538945,-0.0087619501380526,-0.00984061379950955,0.16666666666666666,0.0056131722353944,-0.0190311642770774
YUMC,6,-1.5928661150099475,-0.0016036552179369,-0.008018276089686183,-0.0081426964524455,0.0,-0.0035096284508214,-0.0126410286283993
SFM,6,-1.8379209814659614,-0.0018456084268321205,-0.010911574809827499,-0.00665753667472825,0.3333333333333333,0.0332572072503072,-0.0706388193146647
CVCO,5,-2.0441185478373747,-0.00205661571349,-0.012339694280939941,-0.0127128853983368,0.4,0.0083494111009729,-0.0357083369154057
BN,5,-2.259237063017853,-0.0022699922133061004,-0.01361995327983676,-0.0175801525287162,0.2,0.0123004771516499,-0.0325925850573881
