Date,equity,daily_return,gross_return,turnover_cost,turnover,holdings,held_tickers
2025-05-09,1062.2241331848988,0.06222413318489896,0.06247413318489896,0.00025,5,5,"LUNR,MSTR,RCAT,SMCI,SOUN"
2025-05-12,1144.7110605028447,0.07765491739546801,0.077804917395468,0.00015000000000000001,3,6,"CDE,IAG,LUNR,MSTR,RCAT,SMCI"
2025-05-13,1145.5474160388783,0.0007306258888301394,0.0009806258888301394,0.00025,5,9,"CDE,IAG,LUNR,MSTR,PSLV,RCAT,RDW,SOUN,UNH"
2025-05-14,1138.355166545475,-0.006278438930335167,-0.006228438930335168,5e-05,1,10,"CDE,IAG,LUNR,MSTR,NVO,PSLV,RCAT,RDW,SOUN,UNH"
2025-05-15,1158.4012226580467,0.017609667616658477,0.017709667616658476,0.0001,2,10,"CDE,CELH,IAG,LUNR,MSTR,NVO,PSLV,RCAT,SOUN,UNH"
2025-05-16,1148.4895131502556,-0.008556370033042576,-0.008406370033042575,0.00015000000000000001,3,11,"ACHR,CDE,CELH,IAG,MSTR,NVO,PSLV,RCAT,RDW,SOUN,UNH"
2025-05-19,1161.8699484323581,0.011650463612332428,0.011850463612332428,0.0002,4,9,"CDE,CELH,HOOD,IAG,NVO,PSLV,RCAT,RDW,SOUN"
2025-05-20,1138.397020927044,-0.020202715060308504,-0.020152715060308503,5e-05,1,10,"CDE,CELH,HOOD,IAG,NVO,PSLV,RCAT,RDW,SOUN,UEC"
2025-05-21,1154.2784530446067,0.013950697187023364,0.014150697187023364,0.0002,4,10,"CDE,HOOD,LUNR,NVO,PSLV,RCAT,RDW,SOUN,UEC,UNH"
2025-05-22,1180.498625548021,0.022715638877477077,0.02276563887747708,5e-05,1,11,"CDE,HOOD,LUNR,NVO,PSLV,RCAT,RDW,SOUN,UEC,UNH,VFC"
2025-05-23,1260.011048066646,0.06735494713660774,0.06740494713660773,5e-05,1,10,"CDE,HOOD,LUNR,NVO,PSLV,RCAT,RDW,SOUN,UNH,VFC"
2025-05-27,1257.8171816941929,-0.0017411485207366928,-0.0013911485207366927,0.00035,7,7,"CDE,HOOD,NFLX,RCAT,SMR,SOUN,UNH"
2025-05-28,1226.1479315263664,-0.02517794368587827,-0.025027943685878268,0.00015000000000000001,3,8,"CLSK,HOOD,NFLX,PDD,RCAT,SMR,SOUN,UNH"
2025-05-29,1219.1050864410427,-0.005743878780235245,-0.005743878780235245,0.0,0,8,"CLSK,HOOD,NFLX,PDD,RCAT,SMR,SOUN,UNH"
2025-05-30,1231.265557991278,0.009974916588803421,0.010024916588803421,5e-05,1,9,"CLSK,HOOD,NFLX,PDD,RCAT,RDW,SMR,SOUN,UNH"
2025-06-02,1268.3322086086328,0.03010451350383455,0.03020451350383455,0.0001,2,9,"CLSK,HOOD,LUNR,NFLX,PDD,RCAT,RDW,SMR,SOUN"
2025-06-03,1329.9987935936788,0.04862021524525858,0.04867021524525858,5e-05,1,8,"CLSK,HOOD,NFLX,PDD,RCAT,RDW,SMR,SOUN"
2025-06-04,1277.986705388202,-0.03910686870996278,-0.03890686870996278,0.0002,4,8,"CLSK,HOOD,NFLX,NVTS,RCAT,SMR,SOUN,VFC"
2025-06-05,1337.106121703354,0.04625980541573298,0.04630980541573298,5e-05,1,7,"CLSK,HOOD,NFLX,NVTS,RCAT,SOUN,VFC"
2025-06-06,1389.7099682576045,0.03934156436830749,0.03934156436830749,0.0,0,7,"CLSK,HOOD,NFLX,NVTS,RCAT,SOUN,VFC"
