Date,ticker,action,pred,score,opposite_signal,weak_long,weak_short,too_old
2026-02-09,MARA,BUY,0.9964912280701754,0.9964912280701754,,,,
2026-02-09,SOUN,BUY,0.9833333333333334,0.9833333333333334,,,,
2026-02-09,QS,BUY,0.9824561403508771,0.9824561403508771,,,,
2026-02-09,ACHR,BUY,0.9763157894736842,0.9763157894736842,,,,
2026-02-09,NVTS,BUY,0.974561403508772,0.974561403508772,,,,
2026-02-10,FLNC,BUY,0.9982456140350877,0.9982456140350877,,,,
2026-02-10,GLD,BUY,0.9649122807017544,0.9649122807017544,,,,
2026-02-11,COMP,BUY,0.9657894736842105,0.9657894736842105,,,,
2026-02-12,EOSE,BUY,0.9815789473684211,0.9815789473684211,,,,
2026-02-17,GLD,EXIT,,,False,True,False,False
2026-02-17,EOSE,EXIT,,,False,True,False,False
2026-02-18,QUBT,BUY,0.9807017543859649,0.9807017543859649,,,,
2026-02-19,OWL,BUY,0.9798245614035088,0.9798245614035088,,,,
2026-02-23,LUMN,BUY,0.9833333333333334,0.9833333333333334,,,,
2026-02-24,ACHR,EXIT,,,False,True,False,False
2026-02-26,EOSE,BUY,0.9982456140350877,0.9982456140350877,,,,
2026-03-02,MARA,EXIT,,,False,True,False,False
2026-03-06,SOUN,EXIT,,,False,True,False,False
2026-03-06,MARA,BUY,0.9815789473684211,0.9815789473684211,,,,
2026-03-10,SOUN,BUY,0.9754385964912282,0.9754385964912282,,,,
2026-03-11,NVTS,EXIT,,,False,True,False,False
2026-03-11,FLNC,EXIT,,,False,True,False,False
2026-03-13,PSLV,BUY,0.9728070175438597,0.9728070175438597,,,,
2026-03-16,PSLV,EXIT,,,False,True,False,False
2026-03-20,EXK,BUY,0.9894736842105263,0.9894736842105263,,,,
2026-03-20,NVTS,BUY,0.9798245614035088,0.9798245614035088,,,,
2026-03-23,RDW,BUY,0.980701754385965,0.980701754385965,,,,
2026-03-26,EOSE,EXIT_MISSING,,,,,,
2026-03-27,SMR,BUY,0.9779735682819384,0.9779735682819384,,,,
2026-04-08,QS,EXIT,,,False,False,False,True
2026-04-09,MARA,EXIT,,,False,True,False,False
2026-04-09,EOSE,BUY,1.0,1.0,,,,
2026-04-10,COMP,EXIT,,,False,False,False,True
2026-04-10,FSLY,BUY,0.9815789473684211,0.9815789473684211,,,,
2026-04-13,QS,BUY,0.9868421052631579,0.9868421052631579,,,,
2026-04-14,EXK,EXIT,,,False,True,False,False
2026-04-16,QUBT,EXIT,,,False,False,False,True
2026-04-16,RDW,EXIT,,,False,True,False,False
2026-04-17,OWL,EXIT,,,False,False,False,True
2026-04-17,SMR,EXIT,,,False,True,False,False
2026-04-17,RDW,BUY,0.987719298245614,0.987719298245614,,,,
2026-04-17,OWL,BUY,0.9798245614035088,0.9798245614035088,,,,
2026-04-20,FSLY,EXIT,,,False,True,False,False
2026-04-20,RCAT,BUY,0.9770925110132159,0.9770925110132159,,,,
2026-04-20,VRT,BUY,0.9709251101321585,0.9709251101321585,,,,
2026-04-21,LUMN,EXIT,,,False,False,False,True
2026-04-21,EXK,BUY,0.9859030837004406,0.9859030837004406,,,,
2026-04-21,EQX,BUY,0.9797356828193833,0.9797356828193833,,,,
2026-04-21,LUMN,BUY,0.9700440528634361,0.9700440528634361,,,,
2026-04-22,NVTS,EXIT,,,False,True,False,False
2026-04-22,RDW,EXIT,,,False,True,False,False
2026-04-22,FSLY,BUY,0.9797356828193833,0.9797356828193833,,,,
2026-04-22,UEC,BUY,0.9656387665198237,0.9656387665198237,,,,
2026-04-23,RDW,BUY,0.9903083700440528,0.9903083700440528,,,,
2026-04-28,VRT,EXIT,,,False,True,False,False
2026-04-29,QUBT,BUY,0.988546255506608,0.988546255506608,,,,
2026-04-30,EQX,EXIT,,,False,True,False,False
2026-05-04,FSLY,EXIT,,,False,True,False,False
2026-05-06,SOUN,EXIT,,,False,True,False,True
2026-05-06,QUBT,EXIT,,,False,True,False,False
